Strength,Extraction,Result
1.35,19,Ideal Optimum Balance
1.4,19,Strong
1.45,19,Strong
1.5,19,Strong
1.55,19,Strong
1.6,19,Strong
0.8,20,Weak
0.85,20,Weak
0.9,20,Weak
0.95,20,Weak
1,20,Weak
1.05,20,Weak
1.1,20,Weak
1.15,20,Ideal Optimum Balance
1.2,20,Ideal Optimum Balance
1.25,20,Ideal Optimum Balance
1.3,20,Ideal Optimum Balance
1.35,20,Ideal Optimum Balance
1.4,20,Strong
1.45,20,Strong
1.5,20,Strong
1.55,20,Strong
1.6,20,Strong
0.8,21,Weak
0.85,21,Weak
0.9,21,Weak
0.95,21,Weak
1,21,Weak
1.05,21,Weak
1.1,21,Weak
1.15,21,Ideal Optimum Balance
1.2,21,Ideal Optimum Balance
1.25,21,Ideal Optimum Balance
1.3,21,Ideal Optimum Balance
1.35,21,Ideal Optimum Balance
1.4,21,Strong
1.45,21,Strong
1.5,21,Strong
1.55,21,Strong
1.6,21,Strong
0.8,22,Weak
0.85,22,Weak
0.9,22,Weak
0.95,22,Weak
1,22,Weak
1.05,22,Weak
1.1,22,Weak
1.15,22,Ideal Optimum Balance
1.2,22,Ideal Optimum Balance
1.25,22,Ideal Optimum Balance
1.3,22,Ideal Optimum Balance
1.35,22,Ideal Optimum Balance
1.4,22,Strong
1.45,22,Strong
1.5,22,Strong
1.55,22,Strong
1.6,22,Strong
0.8,23,Weak Bitter
0.85,23,Weak Bitter
0.9,23,Weak Bitter
0.95,23,Weak Bitter
1,23,Weak Bitter
1.05,23,Weak Bitter
1.1,23,Weak Bitter
1.15,23,Bitter
1.2,23,Bitter
1.25,23,Bitter
1.3,23,Bitter
1.35,23,Bitter
1.4,23,Strong Bitter
1.45,23,Strong Bitter
1.5,23,Strong Bitter
1.55,23,Strong Bitter
1.6,23,Strong Bitter
0.8,24,Weak Bitter
0.85,24,Weak Bitter
0.9,24,Weak Bitter
0.95,24,Weak Bitter
1,24,Weak Bitter
1.05,24,Weak Bitter
1.1,24,Weak Bitter
1.15,24,Bitter
1.2,24,Bitter
1.25,24,Bitter
1.3,24,Bitter
1.35,24,Bitter
1.4,24,Strong Bitter
1.45,24,Strong Bitter
1.5,24,Strong Bitter
1.55,24,Strong Bitter
1.6,24,Strong Bitter
0.8,25,Weak Bitter
0.85,25,Weak Bitter
0.9,25,Weak Bitter
0.95,25,Weak Bitter
1,25,Weak Bitter
1.05,25,Weak Bitter
1.1,25,Weak Bitter
1.15,25,Bitter
1.2,25,Bitter
1.25,25,Bitter
1.3,25,Bitter
1.35,25,Bitter
1.4,25,Strong Bitter
1.45,25,Strong Bitter
1.5,25,Strong Bitter
1.55,25,Strong Bitter
1.6,25,Strong Bitter
0.8,26,Weak Bitter
0.85,26,Weak Bitter
0.9,26,Weak Bitter
0.95,26,Weak Bitter
1,26,Weak Bitter
1.05,26,Weak Bitter
1.1,26,Weak Bitter
1.15,26,Bitter
1.2,26,Bitter
1.25,26,Bitter
1.3,26,Bitter
1.35,26,Bitter
1.4,26,Strong Bitter
1.45,26,Strong Bitter
1.5,26,Strong Bitter
1.55,26,Strong Bitter
1.6,26,Strong Bitter
